,precision,recall,f1-score,support
piedra,0.5205479452054794,0.3958333333333333,0.4497041420118343,96.0
agua,0.4,0.7297297297297297,0.5167464114832536,74.0
metal,0.25,0.010869565217391304,0.020833333333333332,92.0
papel,0.5319148936170213,0.2976190476190476,0.381679389312977,84.0
hojas,0.3333333333333333,0.5342465753424658,0.41052631578947363,73.0
vidrio,0.1724137931034483,0.06329113924050633,0.09259259259259259,79.0
cuero,0.33170731707317075,0.9315068493150684,0.48920863309352514,73.0
plástico,0.12234042553191489,0.34328358208955223,0.1803921568627451,67.0
madera,0.0,0.0,0.0,82.0
tela,0.0,0.0,0.0,78.0
accuracy,0.31704260651629074,0.31704260651629074,0.31704260651629074,0.31704260651629074
macro avg,0.2662257707864368,0.3306379821887095,0.2541682974479734,798.0
weighted avg,0.27270541284341016,0.31704260651629074,0.2512159248683349,798.0
